timestep,position_error,x_error,y_error,z_error,linear_velocity_error,x_vel_error,y_vel_error,z_vel_error,angular_velocity_error,rx_vel_error,ry_vel_error,rz_vel_error
1.454167,0.07,0.0531,0.0455,-0.0037,0.0559,-0.0003,-0.0554,-0.0074,0.0125,-0.0121,0.0029,0.0004
1.458333,0.0701,0.0537,0.0449,-0.0042,0.053,-0.0025,-0.0525,-0.0069,0.0317,-0.0205,-0.024,-0.0032
1.4625,0.0705,0.0545,0.0444,-0.0048,0.053,-0.0027,-0.0525,-0.0068,0.0357,-0.0354,0.0042,0.0001
1.466667,0.0707,0.0552,0.0438,-0.0052,0.0574,-0.0012,-0.0569,-0.0071,0.0115,-0.0077,-0.0085,-0.0012
1.470833,0.0712,0.0562,0.0433,-0.0057,0.0572,-0.0017,-0.0568,-0.007,0.0119,-0.0118,0.001,-0.0002
1.475,0.0713,0.0568,0.0427,-0.0062,0.0577,-0.0026,-0.0572,-0.0068,0.0235,0.0011,-0.0233,-0.0027
1.479167,0.0716,0.0575,0.0421,-0.0067,0.0593,-0.001,-0.0589,-0.0068,0.0102,0.0067,-0.0077,-0.0006
1.483333,0.072,0.0584,0.0416,-0.0071,0.0591,-0.0021,-0.0587,-0.0067,0.0128,0.0086,-0.0095,-0.0007
1.4875,0.0725,0.0594,0.041,-0.0075,0.0611,-0.0021,-0.0607,-0.0067,0.0105,0.0066,-0.0081,-0.0006
1.491667,0.0729,0.0601,0.0404,-0.008,0.0635,-0.0012,-0.0632,-0.0068,0.036,0.0333,-0.0137,0.0003
1.495833,0.0735,0.0611,0.0398,-0.0084,0.0647,-0.0021,-0.0643,-0.0068,0.0195,0.0153,-0.012,-0.0004
1.5,0.0738,0.0619,0.0392,-0.0088,0.0652,-0.0016,-0.0649,-0.0066,0.0465,0.036,-0.0294,-0.001
1.504167,0.0743,0.0628,0.0387,-0.0093,0.0617,-0.0013,-0.0614,-0.0062,0.0687,0.0275,-0.0627,-0.0047
1.508333,0.0751,0.064,0.0381,-0.0097,0.0718,-0.0027,-0.0714,-0.0071,0.051,0.0388,0.0327,0.0054
