Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
36,0.15,0.010454,0.054994,-0.913127,-0.403814,1.805024,-1.547398,-0.001932,0.441835,0.862522,0.230945,0.086614,1.803566,-1.544999,-0.00432,-0.06441,-0.000531,0.900387,0.430295,1.9212,-1.48855,0.92423,jog
37,0.154167,0.010448,0.054813,-0.913091,-0.403921,1.80503,-1.54739,-0.001931,0.44187,0.862622,0.230484,0.086668,1.803583,-1.544983,-0.004399,-0.064611,-0.000657,0.900485,0.43006,1.921132,-1.488378,0.924238,jog
38,0.158333,0.010534,0.054734,-0.913147,-0.403802,1.805028,-1.547411,-0.001926,0.44172,0.862555,0.23106,0.086562,1.80357,-1.544956,-0.004344,-0.064654,-0.00074,0.900502,0.430018,1.921084,-1.488268,0.924215,jog
39,0.1625,0.01034,0.054772,-0.913087,-0.403937,1.805016,-1.547389,-0.001914,0.441433,0.862464,0.232074,0.086229,1.803546,-1.544928,-0.004228,-0.064809,-0.000679,0.900651,0.429683,1.921092,-1.488052,0.924193,jog
40,0.166667,0.010138,0.054611,-0.913013,-0.404132,1.805016,-1.54737,-0.001911,0.442,0.862668,0.230187,0.086337,1.803582,-1.544988,-0.004437,-0.064863,-0.000619,0.900658,0.429661,1.921058,-1.487943,0.92419,jog
41,0.170833,0.010486,0.054796,-0.913062,-0.403987,1.805041,-1.547399,-0.001939,0.441832,0.862445,0.231291,0.086476,1.803567,-1.544998,-0.004306,-0.065041,-0.00042,0.900643,0.429664,1.92103,-1.48782,0.924175,jog
42,0.175,0.010558,0.054994,-0.91318,-0.403691,1.805009,-1.547403,-0.001937,0.441746,0.862304,0.231964,0.086514,1.80354,-1.545014,-0.00422,-0.065176,-0.000235,0.900655,0.429618,1.920989,-1.487714,0.924186,jog
43,0.179167,0.01044,0.054643,-0.913062,-0.404009,1.805037,-1.547402,-0.00194,0.441714,0.862272,0.232189,0.086396,1.803541,-1.545005,-0.004208,-0.065254,-2.2e-05,0.90065,0.429618,1.920969,-1.487614,0.924207,jog
44,0.183333,0.010474,0.054767,-0.913075,-0.403961,1.805027,-1.547404,-0.001931,0.441943,0.862577,0.230684,0.086208,1.803568,-1.544986,-0.004392,-0.065438,9.4e-05,0.900657,0.429574,1.92094,-1.487516,0.924184,jog
45,0.1875,0.010671,0.054951,-0.913169,-0.403719,1.805029,-1.547423,-0.001949,0.441826,0.862547,0.231079,0.086057,1.803573,-1.544965,-0.004354,-0.065489,0.000209,0.900689,0.429499,1.920918,-1.487412,0.924208,jog
46,0.191667,0.010254,0.054847,-0.913058,-0.403996,1.804993,-1.547389,-0.001926,0.442077,0.862607,0.230315,0.086207,1.803577,-1.545006,-0.004448,-0.065581,0.000342,0.900722,0.429417,1.920899,-1.487313,0.924227,jog
47,0.195833,0.010419,0.054864,-0.913109,-0.403873,1.804996,-1.547398,-0.001936,0.442197,0.86269,0.229877,0.085931,1.803593,-1.544991,-0.0045,-0.065696,0.000389,0.900772,0.429295,1.920867,-1.487204,0.92424,jog
48,0.2,0.01031,0.054724,-0.913043,-0.404043,1.805011,-1.547395,-0.001937,0.442364,0.862919,0.228748,0.085792,1.803587,-1.544984,-0.004633,-0.065781,0.000219,0.900759,0.42931,1.920792,-1.487158,0.924287,jog
49,0.204167,0.010256,0.054637,-0.913024,-0.404099,1.804992,-1.547393,-0.001922,0.442234,0.862684,0.229852,0.085869,1.803583,-1.54498,-0.004498,-0.065997,0.00039,0.900917,0.428945,1.920828,-1.486943,0.924286,jog
50,0.208333,0.010549,0.05487,-0.913077,-0.403941,1.805011,-1.54743,-0.001956,0.442232,0.8628,0.229461,0.085766,1.803591,-1.544956,-0.004551,-0.066095,0.000509,0.900959,0.42884,1.92082,-1.486852,0.924302,jog
51,0.2125,0.010438,0.054759,-0.912961,-0.404221,1.805023,-1.547416,-0.001948,0.442249,0.862904,0.229057,0.085706,1.80361,-1.544928,-0.00463,-0.066257,0.000706,0.900984,0.428763,1.920836,-1.486753,0.924298,jog
52,0.216667,0.010333,0.054653,-0.912903,-0.404368,1.805013,-1.547407,-0.001943,0.442575,0.863154,0.227604,0.085372,1.80363,-1.544927,-0.004785,-0.066461,0.000675,0.901156,0.428369,1.920811,-1.4866,0.924371,jog
53,0.220833,0.0105,0.054798,-0.912903,-0.404345,1.80503,-1.547431,-0.001968,0.442804,0.863312,0.226607,0.085248,1.803658,-1.544914,-0.004946,-0.066638,0.00079,0.901213,0.428222,1.920812,-1.4865,0.924375,jog
54,0.225,0.010615,0.05483,-0.912907,-0.404329,1.80503,-1.547454,-0.001974,0.442719,0.863078,0.227701,0.085138,1.803643,-1.544928,-0.004827,-0.066802,0.001017,0.901236,0.428147,1.920831,-1.486395,0.924386,jog
55,0.229167,0.010325,0.054606,-0.912825,-0.404552,1.805005,-1.547424,-0.001948,0.442936,0.86317,0.227052,0.084815,1.803632,-1.544943,-0.004889,-0.066866,0.001043,0.901309,0.427983,1.920866,-1.486309,0.924423,jog
56,0.233333,0.010246,0.054686,-0.912701,-0.404823,1.804995,-1.54741,-0.001952,0.443294,0.863524,0.225176,0.084335,1.80366,-1.544913,-0.00515,-0.067113,0.001339,0.901511,0.427519,1.920955,-1.486087,0.924449,jog
