Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
49,0.204167,0.006425,0.036283,-0.986234,-0.1612,1.78185,-1.234465,0.004486,-0.022206,-0.036148,0.894514,0.445022,1.964872,-1.013901,0.010008,-0.053955,0.00039,0.986047,0.157479,1.88158,-1.145365,0.924646,jog
50,0.208333,0.00654,0.036055,-0.986242,-0.161195,1.781841,-1.23446,0.0045,-0.02219,-0.036161,0.894501,0.445049,1.964882,-1.013888,0.010002,-0.054251,-0.00063,0.98607,0.157235,1.881475,-1.145487,0.924567,jog
51,0.2125,0.006551,0.036004,-0.986253,-0.161139,1.781824,-1.234457,0.004507,-0.02221,-0.036229,0.89447,0.445104,1.964882,-1.013885,0.010002,-0.054601,-0.001314,0.98608,0.157045,1.881272,-1.145601,0.924542,jog
52,0.216667,0.006695,0.035954,-0.986259,-0.161105,1.781812,-1.234444,0.004524,-0.022296,-0.036311,0.894453,0.445128,1.964887,-1.013882,0.009998,-0.054847,-0.00191,0.986041,0.157201,1.881054,-1.145762,0.924522,jog
53,0.220833,0.00678,0.035879,-0.986256,-0.161137,1.781816,-1.234437,0.004532,-0.022396,-0.036399,0.894406,0.445209,1.964909,-1.013873,0.009994,-0.05542,-0.002547,0.986031,0.157052,1.880875,-1.145882,0.924497,jog
54,0.225,0.006844,0.035808,-0.986261,-0.16112,1.781801,-1.234429,0.004541,-0.022334,-0.036414,0.894369,0.445285,1.964904,-1.013862,0.009989,-0.056172,-0.002699,0.985987,0.157056,1.880619,-1.145937,0.92453,jog
55,0.229167,0.006853,0.035888,-0.98626,-0.161108,1.781786,-1.234425,0.004555,-0.022262,-0.036358,0.894329,0.445373,1.964906,-1.013854,0.00999,-0.055821,0.001007,0.985909,0.157692,1.879852,-1.145741,0.925097,jog
56,0.233333,0.00692,0.035822,-0.98626,-0.161124,1.781786,-1.234419,0.004562,-0.022409,-0.036459,0.894302,0.445412,1.964921,-1.013849,0.009984,-0.056044,0.000949,0.985894,0.157706,1.879621,-1.145844,0.925106,jog
57,0.2375,0.006965,0.03581,-0.986258,-0.161137,1.781779,-1.234417,0.004566,-0.022465,-0.03656,0.894291,0.445423,1.96492,-1.013851,0.009983,-0.056545,0.001108,0.98589,0.157552,1.879323,-1.145882,0.925154,jog
58,0.241667,0.007076,0.035706,-0.986268,-0.161093,1.781773,-1.234415,0.004571,-0.022421,-0.036567,0.894248,0.445511,1.964916,-1.013843,0.00998,-0.056679,0.001111,0.985907,0.157394,1.879079,-1.145963,0.925146,jog
