Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
33,0.1375,-0.01068,-0.022039,0.862283,0.505835,-0.955612,1.053342,0.03828,-0.019718,-0.037275,0.818422,0.573068,-0.701945,1.203019,0.045584,0.017135,0.027812,-0.879829,-0.474167,-0.873909,1.119241,0.959066,walk
34,0.141667,-0.010658,-0.022048,0.862284,0.505832,-0.955617,1.053342,0.038275,-0.019698,-0.037546,0.818365,0.573133,-0.701915,1.203043,0.045629,0.017246,0.027915,-0.879758,-0.474289,-0.873882,1.119173,0.959068,walk
35,0.145833,-0.01063,-0.022214,0.862308,0.505786,-0.955614,1.053331,0.038277,-0.019544,-0.037393,0.81853,0.572913,-0.701952,1.203055,0.045626,0.017389,0.027886,-0.879693,-0.474405,-0.873858,1.119088,0.95909,walk
36,0.15,-0.010644,-0.022421,0.862237,0.505896,-0.955608,1.053335,0.038282,-0.01945,-0.037526,0.818473,0.572988,-0.701913,1.203064,0.04566,0.017544,0.027858,-0.879633,-0.474512,-0.873833,1.119016,0.959105,walk
37,0.154167,-0.010558,-0.022444,0.862277,0.505829,-0.955608,1.053321,0.038277,-0.019316,-0.037422,0.818466,0.573009,-0.701894,1.203073,0.045656,0.017682,0.027828,-0.879573,-0.47462,-0.87381,1.118939,0.959122,walk
38,0.158333,-0.010546,-0.022387,0.86229,0.50581,-0.955611,1.053311,0.038274,-0.019284,-0.037313,0.818464,0.573021,-0.701872,1.203076,0.045645,0.017862,0.027723,-0.879497,-0.474761,-0.873783,1.118858,0.959147,walk
39,0.1625,-0.010523,-0.022352,0.862285,0.505821,-0.95561,1.053317,0.038269,-0.019167,-0.03702,0.818562,0.572903,-0.701878,1.203079,0.045609,0.017997,0.027769,-0.87942,-0.474896,-0.873765,1.118799,0.959143,walk
40,0.166667,-0.010541,-0.022407,0.86229,0.505809,-0.955602,1.053309,0.038277,-0.019093,-0.037138,0.818483,0.573011,-0.701836,1.20308,0.045635,0.018169,0.027648,-0.879337,-0.475049,-0.873738,1.11872,0.959169,walk
41,0.170833,-0.010478,-0.022408,0.862329,0.505744,-0.955609,1.053293,0.038282,-0.018982,-0.03702,0.818514,0.572978,-0.701823,1.203092,0.045635,0.018313,0.027621,-0.879257,-0.475193,-0.873718,1.118661,0.959167,walk
42,0.175,-0.01048,-0.022491,0.862321,0.505754,-0.955606,1.05328,0.038289,-0.018924,-0.036965,0.818515,0.572982,-0.701804,1.203096,0.045643,0.018484,0.02749,-0.879179,-0.475339,-0.873692,1.118583,0.959191,walk
